,means,std_devs,cov_n,cov_p1,cov_p2,cov_tau1,cov_tau2
n,4.058009826001085,0.7805202332225036,0.611573120649827,0.014049570322478572,-0.001359177946654858,-1.027053607702596,-0.293815548188974
p1,2.551300276695302,0.339999076074128,0.014049570322478572,0.11604743131161435,0.008450710850662095,0.2575412097007889,0.9878130072630772
p2,0.20319207737565034,0.06135408212642689,-0.001359177946654858,0.008450710850662095,0.0037789137943266323,0.07808626829277959,-0.6227272396232774
tau1,51.57009041341801,3.0047833064394696,-1.027053607702596,0.2575412097007889,0.07808626829277959,9.06371776795443,-0.6186713956749826
tau2,186.60104342655958,19.32217110012878,-0.293815548188974,0.9878130072630772,-0.6227272396232774,-0.6186713956749826,374.79337468940633
