,means,std_devs,cov_n,cov_p1,cov_p2,cov_tau1,cov_tau2
n,7.591991077045382,1.2056201989091624,1.4599801531911805,-0.01576797330957175,-0.02171583235033922,-1.412337592825828,-8.899343041955639
p1,3.2002701908756843,0.3665963848540116,-0.01576797330957175,0.1349902112075329,-0.0017401604976651816,0.1548477220422935,2.810060528712439
p2,0.3302229774849347,0.11797851155729877,-0.02171583235033922,-0.0017401604976651816,0.01398079109678357,0.09507625057800626,-1.7609742613876544
tau1,54.11092924707281,2.4378480949357626,-1.412337592825828,0.1548477220422935,0.09507625057800626,5.9695171265774025,9.509908358420162
tau2,167.00932195721646,25.33135670293747,-8.899343041955639,2.810060528712439,-1.7609742613876544,9.509908358420162,644.5295329999503
