,means,std_devs,cov_n,cov_p1,cov_p2,cov_tau1,cov_tau2
n,7.601520904083883,1.2126118669802786,1.4771418209456952,-0.01772089740638124,-0.024958790235861148,-1.4601903447112279,-8.57398051832471
p1,3.203967871803974,0.3672874013767052,-0.01772089740638124,0.1355160171059892,-0.002093610030126882,0.15658900153695476,2.9506676699374887
p2,0.3313482087214227,0.11766439086969063,-0.024958790235861148,-0.002093610030126882,0.013908127640738692,0.09779226438340707,-1.7176671589661883
tau1,54.10712697200736,2.4617875655528008,-1.4601903447112279,0.15658900153695476,0.09779226438340707,6.088071068220479,9.535437619072914
tau2,166.4735001284275,25.215476372826767,-8.57398051832471,2.9506676699374887,-1.7176671589661883,9.535437619072914,638.7235375154736
