,means,std_devs,cov_ampl_c,cov_xoc_pix,cov_yoc_pix,cov_rad_c_pix,cov_ampl_s,cov_rad_s_pix,cov_offset,cov_relative_surround_volume
ampl_c,0.9999500607396279,0.0002176428860823627,4.796802618963069e-08,-1.0162888466037791e-05,-1.9669072154199005e-05,3.918477601123307e-06,-3.479282288310433e-07,8.851501530474396e-06,1.997982186821232e-07,3.181029194319119e-06
xoc_pix,6.317561473716,0.9004187544918348,-1.0162888466037791e-05,0.8210166414588629,-0.0005924107916873027,-0.03526531338411135,-0.0023995020875079267,-0.03670019889953687,0.0006736390619777787,0.000799969372628708
yoc_pix,6.553738924058853,0.2776695262230962,-1.9669072154199005e-05,-0.0005924107916873027,0.07807631979033794,-0.004989963885345529,-0.0001414758822938452,-0.008444650456420365,-0.00019214433957599305,-0.0023141698709454013
rad_c_pix,1.9343369811663362,0.225496212269346,3.918477601123307e-06,-0.03526531338411135,-0.004989963885345529,0.05149219417500957,0.008988528761459419,0.05290806185929463,0.00035581911082900136,0.005802166202251042
ampl_s,0.6726023652146119,0.04237064701214322,-3.479282288310433e-07,-0.0023995020875079267,-0.0001414758822938452,0.008988528761459419,0.0018179966868128014,0.008732313341550146,5.757533522021351e-05,0.00090098719499629
rad_s_pix,2.2716587092001843,0.23652306374170826,8.851501530474396e-06,-0.03670019889953687,-0.008444650456420365,0.05290806185929463,0.008732313341550146,0.056651300943558684,0.0004451934794806916,0.007208297900711459
offset,0.005382382883133871,0.002993846047996773,1.997982186821232e-07,0.0006736390619777787,-0.00019214433957599305,0.00035581911082900136,5.757533522021351e-05,0.0004451934794806916,9.0765713003604e-06,9.962210523552809e-05
relative_surround_volume,0.9294902423850958,0.0394148168465706,3.181029194319119e-06,0.000799969372628708,-0.0023141698709454013,0.005802166202251042,0.00090098719499629,0.007208297900711459,9.962210523552809e-05,0.0015731926957455243
