,means,std_devs,cov_ampl_c,cov_xoc_pix,cov_yoc_pix,cov_semi_xc_pix,cov_semi_yc_pix,cov_ampl_s,cov_xos_pix,cov_yos_pix,cov_semi_xs_pix,cov_semi_ys_pix,cov_offset,cov_xy_aspect_ratio,cov_relative_surround_volume,cov_orient_cen_rad,cov_orient_sur_rad
ampl_c,0.9999565217390042,0.00020393111996526022,4.219948847984837e-08,-2.0386987328471873e-05,-1.805139946214624e-05,9.733086814115255e-06,4.887667239234465e-06,-4.112941433993964e-06,-2.8221673586375306e-05,-2.6818079530222133e-05,1.9484489327364847e-05,1.555125698977135e-05,2.8731422090162184e-07,3.384769029129589e-06,4.270706766900027e-06,1.1485216617681657e-05,1.4394417315933198e-05
xoc_pix,6.481031888852499,0.6092410711581342,-2.0386987328471873e-05,0.3766331340033506,0.01911475521342768,0.031684558511663505,-0.02121969960086464,-0.0008923491893663466,0.44010333528777107,0.039959355958884744,0.04667030380983634,-0.028231589916019567,-0.0003191234412021282,0.053795252384275,0.0006141702313591995,-0.01588332186037599,0.04962308274255709
yoc_pix,6.414897481144988,0.36450643432639673,-1.805139946214624e-05,0.01911475521342768,0.13481883685159887,-0.009005032142058833,0.007008203881453097,0.002576627903841233,0.021758507634782622,0.16996869087232833,-0.006085586042744959,-0.0004968721542896291,-1.581663916416068e-05,-0.013637419292200928,-0.0002903626036876982,0.006864026678394952,-0.1767530554013168
semi_xc_pix,2.2284239763081497,0.3536738943290589,9.733086814115255e-06,0.031684558511663505,-0.009005032142058833,0.1269247121112041,0.007689336279969202,0.005572786411037102,0.06631217055963401,-0.008554935620131153,0.1477775467988044,0.01475409783631097,0.0001999986420492528,0.08423972724780922,0.012303657122653607,0.019316830936565745,0.039534773046148323
semi_yc_pix,1.4814766204556689,0.2300501839653614,4.887667239234465e-06,-0.02121969960086464,0.007008203881453097,0.007689336279969202,0.053701367835768635,0.0027436178769175814,-0.02163110182864629,0.015251574011015463,0.016894645058731096,0.06542916071927501,0.0005585509452354168,-0.049379649397445144,0.009450280209628563,0.03568822676565718,-0.05906918716388797
ampl_s,0.6596981999124946,0.050062448055813905,-4.112941433993964e-06,-0.0008923491893663466,0.002576627903841233,0.005572786411037102,0.0027436178769175814,0.002543105303949022,0.001193394849757511,0.004804088317439562,0.003470482322706226,-0.0006634243737996457,-3.2020365327026966e-05,0.001788459514734527,-6.463049797252309e-05,-0.00012767147594054654,0.00100942261004443
xos_pix,6.497594014741103,0.7347332626729015,-2.8221673586375306e-05,0.44010333528777107,0.021758507634782622,0.06631217055963401,-0.02163110182864629,0.001193394849757511,0.5477716873849957,0.04697828336652129,0.08505443110359473,-0.03028071578537801,-0.0004195667389123149,0.08164246728332987,0.0022493086941017103,-0.015795594896814473,0.032945813527756725
yos_pix,6.4134372279272105,0.47760102208406324,-2.6818079530222133e-05,0.039959355958884744,0.16996869087232833,-0.008554935620131153,0.015251574011015463,0.004804088317439562,0.04697828336652129,0.23145718830009104,-0.0033863601395734484,0.003034339410546425,-1.1827981045889798e-05,-0.021410416037562576,0.0003539134301751843,0.0027546338758885477,-0.25394325617260155
semi_xs_pix,2.5808124958708176,0.42476410074499743,1.9484489327364847e-05,0.04667030380983634,-0.006085586042744959,0.1477775467988044,0.016894645058731096,0.003470482322706226,0.08505443110359473,-0.0033863601395734484,0.18307784335937846,0.0325735646990039,0.00047647168918668625,0.08889305328525761,0.01841569874065999,0.023685806674883087,0.02344280487633021
semi_ys_pix,1.7261522302831946,0.2991191239134068,1.555125698977135e-05,-0.028231589916019567,-0.0004968721542896291,0.01475409783631097,0.06542916071927501,-0.0006634243737996457,-0.03028071578537801,0.003034339410546425,0.0325735646990039,0.09078801867735228,0.0008722653809156747,-0.05761946258011856,0.014817086267904974,0.049712292958650275,-0.0923937557699949
offset,0.002819957712743391,0.0035685068112829145,2.8731422090162184e-07,-0.0003191234412021282,-1.581663916416068e-05,0.0001999986420492528,0.0005585509452354168,-3.2020365327026966e-05,-0.0004195667389123149,-1.1827981045889798e-05,0.00047647168918668625,0.0008722653809156747,1.2921509110145679e-05,-0.0004609037387253574,0.00018428068092565854,0.00019605293340162173,-0.0006997302135968827
xy_aspect_ratio,1.5370394288858211,0.33501394250317135,3.384769029129589e-06,0.053795252384275,-0.013637419292200928,0.08423972724780922,-0.049379649397445144,0.001788459514734527,0.08164246728332987,-0.021410416037562576,0.08889305328525761,-0.05761946258011856,-0.0004609037387253574,0.11388484669609936,-0.0012103862198403848,-0.018032796512253042,0.0949452418094894
relative_surround_volume,0.8849716065220209,0.062341131976493235,4.270706766900027e-06,0.0006141702313591995,-0.0002903626036876982,0.012303657122653607,0.009450280209628563,-6.463049797252309e-05,0.0022493086941017103,0.0003539134301751843,0.01841569874065999,0.014817086267904974,0.00018428068092565854,-0.0012103862198403848,0.003943569923406291,0.005957665250766139,-0.018722007631390532
orient_cen_rad,0.14952641635517186,0.47477984053909966,1.1485216617681657e-05,-0.01588332186037599,0.006864026678394952,0.019316830936565745,0.03568822676565718,-0.00012767147594054654,-0.015795594896814473,0.0027546338758885477,0.023685806674883087,0.049712292958650275,0.00019605293340162173,-0.018032796512253042,0.005957665250766139,0.22873083664383784,-0.5073647736466325
orient_sur_rad,2.5399592870308356,2.801545333237849,1.4394417315933198e-05,0.04962308274255709,-0.1767530554013168,0.039534773046148323,-0.05906918716388797,0.00100942261004443,0.032945813527756725,-0.25394325617260155,0.02344280487633021,-0.0923937557699949,-0.0006997302135968827,0.0949452418094894,-0.018722007631390532,-0.5073647736466325,7.964077669689516
