,means,std_devs,cov_n,cov_p1,cov_p2,cov_tau1,cov_tau2
n,9.820943713620165,1.1106019580587185,1.2490498321456807,0.2869985971605118,-0.0018793592498410117,1.2042101982585776,6.409407448163446
p1,3.4055341933430037,0.4987959000501552,0.2869985971605118,0.25194668344996907,0.0548135423642762,0.41172354839777353,1.5975505655575317
p2,0.9385819669185302,0.1728973755073137,-0.0018793592498410117,0.0548135423642762,0.030271901222599533,0.042617379766332376,-0.7748401807708428
tau1,51.829403883845565,1.347172029880547,1.2042101982585776,0.41172354839777353,0.042617379766332376,1.837845547435416,5.974594097115196
tau2,124.47051123658018,10.693837975659465,6.409407448163446,1.5975505655575317,-0.7748401807708428,5.974594097115196,115.80574243003187
