,means,std_devs,cov_n,cov_p1,cov_p2,cov_tau1,cov_tau2
n,4.892149665681258,0.7520029293600621,0.5738247058509103,0.056947549388873635,-0.00949231554222485,1.8519756207471636,6.475660950613357
p1,2.912656395638875,0.2407244443953631,0.056947549388873635,0.058800438396065906,0.009717697962812358,0.26497290192567485,1.2091181629605299
p2,0.8638719513050183,0.07238407868338918,-0.00949231554222485,0.009717697962812358,0.0053165056534142975,-0.0055201658764585946,-0.21160513591833638
tau1,44.32720318065526,2.86039974841734,1.8519756207471636,0.26497290192567485,-0.0055201658764585946,8.30220858428636,26.705390083360264
tau2,123.04283467858178,10.900340441875182,6.475660950613357,1.2091181629605299,-0.21160513591833638,26.705390083360264,120.56473677449698
