,means,std_devs,cov_ampl_c,cov_xoc_pix,cov_yoc_pix,cov_semi_xc_pix,cov_semi_yc_pix,cov_ampl_s,cov_relat_sur_diam,cov_offset,cov_xy_aspect_ratio,cov_relative_surround_volume,cov_orient_cen_rad
ampl_c,0.9999420769337733,0.00023162190063027042,5.3855046024084663e-08,2.784975076662288e-06,-9.236035037977988e-06,-7.657426837004553e-06,7.424423119244008e-07,-1.3935000625422725e-06,1.1062427033692153e-05,1.3986756361126124e-08,-1.7048145820026298e-05,5.362777263935121e-06,1.6788487130299283e-06
xoc_pix,6.50607561347046,0.3255610970429079,2.784975076662288e-06,0.10639768186127324,-0.0009410734799035161,-0.005327960934806522,0.0002446649596690309,-0.0020675572210479437,0.010272720870747147,3.479880187311061e-06,-0.009361582832138988,0.00025078892412745956,-0.011714527512888437
yoc_pix,6.505708050840954,0.3220181980671822,-9.236035037977988e-06,-0.0009410734799035161,0.10409454957830587,-0.0017371037325329135,-0.0011441994619497502,-0.001114736065453671,0.01198334403031193,8.678118487488668e-06,0.0005358005758045553,0.0029742584171103398,0.00531559604959209
semi_xc_pix,0.8145961637899388,0.1797440517842765,-7.657426837004553e-06,-0.005327960934806522,-0.0017371037325329135,0.03243218539856646,0.003453958967252998,0.011523738748354481,-0.07404858854805062,-1.397174282806292e-05,0.051253333355981326,-0.0007482098583854281,0.00785965939851186
semi_yc_pix,0.5428020812399247,0.08501294022142172,7.424423119244008e-07,0.0002446649596690309,-0.0011441994619497502,0.003453958967252998,0.007254996928187526,0.004352441262410345,-0.027874145701776716,4.222571517209409e-06,-0.015338346551262183,0.0017848750329062068,0.008312437581446426
ampl_s,0.1554859752238135,0.07780238243628111,-1.3935000625422725e-06,-0.0020675572210479437,-0.001114736065453671,0.011523738748354481,0.004352441262410345,0.006076492292425806,-0.038286971818246446,-3.090584091298236e-06,0.008308614321168443,0.0020677430382692995,0.007648068123040697
relat_sur_diam,2.3895803117856054,0.6048260164480368,1.1062427033692153e-05,0.010272720870747147,0.01198334403031193,-0.07404858854805062,-0.027874145701776716,-0.038286971818246446,0.36722148905767926,4.071371062553402e-05,-0.061342822484714135,0.006657085113862897,-0.01333137638715794
offset,0.0004143716141499475,0.00043179162397763047,1.3986756361126124e-08,3.479880187311061e-06,8.678118487488668e-06,-1.397174282806292e-05,4.222571517209409e-06,-3.090584091298236e-06,4.071371062553402e-05,1.8716109887007495e-07,-4.0643175995880084e-05,8.825617017725164e-06,3.2813747371552794e-05
xy_aspect_ratio,1.5288735460155276,0.38629407206939875,-1.7048145820026298e-05,-0.009361582832138988,0.0005358005758045553,0.051253333355981326,-0.015338346551262183,0.008308614321168443,-0.061342822484714135,-4.0643175995880084e-05,0.14979704515486533,-0.009725703551120072,-0.01745151094779677
relative_surround_volume,0.7556155349491434,0.1202887230421764,5.362777263935121e-06,0.00025078892412745956,0.0029742584171103398,-0.0007482098583854281,0.0017848750329062068,0.0020677430382692995,0.006657085113862897,8.825617017725164e-06,-0.009725703551120072,0.014525028340698638,0.011137493978311866
orient_cen_rad,-0.021287893958000736,0.6415400298490374,1.6788487130299283e-06,-0.011714527512888437,0.00531559604959209,0.00785965939851186,0.008312437581446426,0.007648068123040697,-0.01333137638715794,3.2813747371552794e-05,-0.01745151094779677,0.011137493978311866,0.4131565853213911
