,means,std_devs,cov_ampl_c,cov_xoc_pix,cov_yoc_pix,cov_rad_c_pix,cov_ampl_s,cov_rad_s_pix,cov_offset,cov_relative_surround_volume
ampl_c,0.9999019872763232,0.00029170136995275946,8.635968459399298e-08,2.9176456691381026e-06,-3.304584391862563e-06,1.517002510585239e-05,7.115245357680088e-07,2.5082532032966665e-05,4.585246086530768e-07,7.333629281791316e-06
xoc_pix,6.443070887702097,0.568636910727262,2.9176456691381026e-06,0.3281740248420627,-0.004200953104465285,-0.027286159711196595,-0.00466498831436079,-0.02841237629991614,-0.00011847460816758811,-0.0035436166049928625
yoc_pix,6.38559466022148,0.3033956847659012,-3.304584391862563e-06,-0.004200953104465285,0.09342280633359352,-0.013355025789424494,-0.0023673000729863237,-0.013392536898827937,-0.00013586926650882832,-0.0014313064404632904
rad_c_pix,1.8516871135990636,0.22587176003506432,1.517002510585239e-05,-0.027286159711196595,-0.013355025789424494,0.0517795154437457,0.0089582821669941,0.05803163957237791,0.0005836649322305569,0.01023192481067463
ampl_s,0.6579593618601516,0.04200730438716241,7.115245357680088e-07,-0.00466498831436079,-0.0023673000729863237,0.0089582821669941,0.0017909511386201278,0.009386326431079608,7.869990244280028e-05,0.001540684907069857
rad_s_pix,2.1649556868992073,0.25840041843226375,2.5082532032966665e-05,-0.02841237629991614,-0.013392536898827937,0.05803163957237791,0.009386326431079608,0.06776735499590883,0.0007487787638540391,0.01286895833787391
offset,0.004609504546539685,0.003423923691064012,4.585246086530768e-07,-0.00011847460816758811,-0.00013586926650882832,0.0005836649322305569,7.869990244280028e-05,0.0007487787638540391,1.189822737420298e-05,0.00016335582534507393
relative_surround_volume,0.8997648303663476,0.053299170527788466,7.333629281791316e-06,-0.0035436166049928625,-0.0014313064404632904,0.01023192481067463,0.001540684907069857,0.01286895833787391,0.00016335582534507393,0.002883201602516697
