,means,std_devs,cov_n,cov_p1,cov_p2,cov_tau1,cov_tau2
n,4.850078462916913,0.7476019010869401,0.5664614214616288,0.058669190013569406,-0.013749041778908915,1.8084287675685682,6.672008063059731
p1,2.8995997809478746,0.23876086925562826,0.058669190013569406,0.05777711421051001,0.008740125652735973,0.2769692951282759,1.2517754639281884
p2,0.8685319712962292,0.07666009188276929,-0.013749041778908915,0.008740125652735973,0.005956185494062127,-0.018800139980857607,-0.31902703719808573
tau1,44.181714565865626,2.8709292695930517,1.8084287675685682,0.2769692951282759,-0.018800139980857607,8.353616423316986,28.239272113577318
tau2,122.29978549288737,11.508062549344904,6.672008063059731,1.2517754639281884,-0.31902703719808573,28.239272113577318,134.2251726077379
