,means,std_devs,cov_ampl_c,cov_xoc_pix,cov_yoc_pix,cov_rad_c_pix,cov_ampl_s,cov_rad_s_pix,cov_offset,cov_relative_surround_volume
ampl_c,0.9999076358698445,0.00028586643825709936,8.203636323700116e-08,3.1542303796304225e-06,1.1063632297163354e-05,-4.734029507791925e-06,-3.7283652288564602e-06,1.1884385084136704e-05,1.7969527796210364e-08,6.441615737429321e-06
xoc_pix,6.508375181742997,0.3176834542451917,3.1542303796304225e-06,0.1013139506558124,-0.00016782729340289996,-0.0018909674384475648,-0.0016292966787925345,0.004156271135730016,9.196281191265484e-06,0.0005895474547153656
yoc_pix,6.511151271122091,0.33096199031358386,1.1063632297163354e-05,-0.00016782729340289996,0.10996039654795794,-0.0013296116434587018,-0.0019298607779890216,0.02051978353909511,1.9399617080490884e-05,0.003939148366480784
rad_c_pix,0.6438558558802862,0.11449301650352381,-4.734029507791925e-06,-0.0018909674384475648,-0.0013296116434587018,0.013159459552216002,0.011230768221339237,-0.026224160775837297,-2.3313403791061557e-05,0.0030514734312974707
ampl_s,0.1493450428318159,0.10121856766895326,-3.7283652288564602e-06,-0.0016292966787925345,-0.0019298607779890216,0.011230768221339237,0.010284908512431046,-0.024784060491079,-2.2793361316967438e-05,0.00394700037237317
rad_s_pix,1.6183006904792143,0.42976258005161494,1.1884385084136704e-05,0.004156271135730016,0.02051978353909511,-0.026224160775837297,-0.024784060491079,0.18541175069794097,0.00014671380285659997,0.009362912325607285
offset,0.000680486317403659,0.0008797317331877804,1.7969527796210364e-08,9.196281191265484e-06,1.9399617080490884e-05,-2.3313403791061557e-05,-2.2793361316967438e-05,0.00014671380285659997,7.769276430069462e-07,2.8060291843640216e-05
relative_surround_volume,0.7479274782232899,0.14737854042615017,6.441615737429321e-06,0.0005895474547153656,0.003939148366480784,0.0030514734312974707,0.00394700037237317,0.009362912325607285,2.8060291843640216e-05,0.02180462190751503
