,means,std_devs,cov_n,cov_p1,cov_p2,cov_tau1,cov_tau2
n,4.064154945734356,0.7807551080219909,0.611923071543594,0.00968709751882962,-0.0012385979553163542,-1.042836533234384,-0.5169186993088096
p1,2.5452374157565174,0.3445217373098746,0.00968709751882962,0.11915174758470282,0.008419596194029613,0.2621855513825455,1.0626537476326117
p2,0.20340653099928724,0.061296534630231936,-0.0012385979553163542,0.008419596194029613,0.003771716177512435,0.07733295491823738,-0.6327745238778315
tau1,51.53562944740436,2.989906023137474,-1.042836533234384,0.2621855513825455,0.07733295491823738,8.97392086575987,-0.3096938893641156
tau2,186.2470510588223,19.584655622211006,-0.5169186993088096,1.0626537476326117,-0.6327745238778315,-0.3096938893641156,385.0339617476802
