,means,std_devs,cov_n,cov_p1,cov_p2,cov_tau1,cov_tau2
n,7.604377484966333,1.215654364095082,1.4843836019787229,-0.020104422451848666,-0.022416356398522384,-1.4213111510984955,-8.488890886147537
p1,3.1982335738007133,0.3676354141299103,-0.020104422451848666,0.13575649015679273,-0.0016354841165848624,0.15654909716070806,2.7425725310369105
p2,0.3306246932850371,0.11767810621413646,-0.022416356398522384,-0.0016354841165848624,0.013909683956288454,0.09582567757081736,-1.7476624830878815
tau1,54.10229135636183,2.4379803664527677,-1.4213111510984955,0.15654909716070806,0.09582567757081736,5.970164926174546,9.22367195424389
tau2,167.00932195721646,25.331356702937466,-8.488890886147537,2.7425725310369105,-1.7476624830878815,9.22367195424389,644.5295329999501
