,positions_eccentricity,positions_polar_angle,eccentricity_group_index,semi_xc,semi_yc,xy_aspect_ratio,amplitudes,sur_ratio,orientation_center,amplitudec,relative_sur_amplitude,rf_radius,n,p1,p2,tau1,tau2,tonicdrive
0,0.9679983403493974,-1.284360227766394,0,0.01874580228410417,0.008764414352956102,0.7815685615006243,60.825048299475895,1.303864716866436,-1.284360227766394,85.7881658214362,0.7090144394283964,0.012817799288352109,5.832420644194401,2.8828696337570596,0.9094148195273156,38.44198379870828,110.06945797640994,2.3164922213220676
1,0.9688912518701502,0.6659731081489596,0,0.016018922806846612,0.008249472741062377,0.748519779351847,74.40013272671945,1.2019308044611654,0.6659731081489596,106.65833890024058,0.6975557044471431,0.011495549879682291,4.314975131655382,3.1510543459780074,0.9394321447949086,43.2361158366169,121.83657534370916,2.140406216072237
2,0.9675090517492492,2.6347593831374363,0,0.016694697502061137,0.006138395405638798,0.6033952837085925,95.60961993669837,1.153313180303205,2.6347593831374363,137.53742895960374,0.6951534622970156,0.010123174128956866,3.6180429520582287,2.9463006986556146,0.8971426171155089,42.18741443329214,116.3895296750273,2.7879917253541695
3,0.9914654592840554,-2.0230400910371724,0,0.012776004842595624,0.008320597466512364,0.8423214904088514,92.53149448970612,1.160351398045406,-2.0230400910371724,132.5881576805999,0.6978865692712253,0.010310382802081155,4.619922065038597,2.940826394792581,0.8999364771406702,41.75925322114066,142.08344893405496,2.6872942129752904
4,0.988627476710995,-0.06679197012865397,0,0.014697199875453723,0.01197637570186868,0.5994183461510998,54.728260817734906,1.2744415453999833,-0.06679197012865397,80.07451265914167,0.6834666737305066,0.013267222296844633,4.493577078681444,2.8104094429932607,0.893166570936338,48.38731605133912,126.10737891838171,2.380213564460714
5,0.9896219036201046,2.0617933089472267,0,0.01601192422191769,0.01101055591093306,0.6825061120171383,46.379797877553564,1.1930056836327845,2.0617933089472267,79.94688437091733,0.5801326498525234,0.013277808060333154,4.371351401538717,3.2761874959472452,0.8870653065183594,46.21831093358259,127.38317540339999,3.1276841804210687
6,1.0129576555195414,-1.2569691454363425,0,0.017979868435160407,0.00858172100853122,0.4563975893186014,60.774293405553564,1.2434104011866334,-1.2569691454363425,91.34681619487402,0.6653137562660224,0.012421683246671662,4.536143091615479,2.4633599758756937,0.7942581593091358,45.95449438770506,125.1977076514833,2.8178440819517707
7,1.0128891902000148,0.7833938773446463,0,0.012407234785560519,0.011570286929538374,0.5918598055265996,63.66444546159798,1.1928878962810794,0.7833938773446463,98.18274872185847,0.6484280211175666,0.01198145510658387,5.958214478514741,3.0711005978857555,0.8891293412803732,43.26902010271265,126.60273164139512,2.7952937927367447
8,1.0118969325771854,2.6064280018223127,0,0.014772365199326771,0.010202626244490474,0.6733730783347123,63.47742845183414,1.2222693966035987,2.6064280018223127,93.51737398642994,0.6787768491130342,0.012276681997830238,6.789372868644749,3.204065658217137,0.8517635844470565,48.38651645332107,116.93088829716955,2.748783166611611
9,1.0346570241505222,-2.04467726781641,0,0.02727641564078034,0.011883769050460182,0.4590004006564792,31.201212975510156,1.2533323332444235,-2.04467726781641,43.48233056302423,0.7175607326356724,0.018004072428186725,5.0670855120699425,2.9986907506259293,0.8015902648348299,45.89781952336812,120.92859976819683,2.0557240765736324
10,1.0373865098032697,0.12786107265708,0,0.016814354094538443,0.011564860277385736,0.3149759561680472,44.93508678316787,1.1567163927858681,0.12786107265708,72.48259558561443,0.6199431245545255,0.01394473577224846,4.6078662347394905,3.2260054856092664,0.9008052160992936,45.8750168403647,119.71872832397618,2.6857948958022213
11,1.0341519909154615,1.9387944762531695,0,0.012561000401772934,0.012259409424710871,0.38859965736671453,60.98856794528373,1.1866958460444401,1.9387944762531695,91.52938352233146,0.6663277474211727,0.012409288726969494,5.275530307104296,3.32657543998447,0.7725460250482844,43.88599548090351,136.8709194357907,2.185074137646703
12,1.0587060812087632,-1.3866431994285258,1,0.020205660797617125,0.009699120388328911,0.5232879762578677,45.83844703858245,1.2306964405572576,-1.3866431994285258,71.9198723893315,0.6373543989405362,0.013999183426251206,4.523667454070975,2.8690017125463716,0.9417068944976486,44.72749249940981,126.43788326054637,3.18230265986303
13,1.0588498796095298,0.6138608611220343,1,0.016277351458386265,0.010488391643739377,0.5682345641870175,59.96706900573771,1.228780570543722,0.6138608611220343,82.55847828210524,0.7263587005665016,0.013066110248208817,4.1239228364904985,3.1051090581147194,0.8225337778648641,44.28708452660603,123.33489540882086,2.472869508317231
14,1.058228656261686,2.6621297743134757,1,0.0159586746650089,0.012001892720791168,0.6094310850342408,57.169712760503934,1.1792039892586936,2.6621297743134757,73.58812787213878,0.776887718353669,0.013839591803786872,5.653053572106552,3.2357888425907424,0.8665855350930176,41.497449063151265,141.565090190425,1.6738077737720936
15,1.0844260921610285,-2.0603638034762035,1,0.020444417951792162,0.008857732544079752,0.850103861233888,54.30899233299215,1.2215993557353781,-2.0603638034762035,77.83178711543587,0.6977739346064867,0.013457012530140476,5.074342554378176,2.9653288356061323,0.8756006654710997,40.448466282497506,110.08044663355712,2.957969840312831
16,1.0830365233075803,-0.07981468850474434,1,0.02078861466827816,0.008358170524546172,0.8375881008458363,45.181560320337304,1.2548892613045264,-0.07981468850474434,81.11805694892378,0.5569852387956729,0.013181607882445552,4.660446370804415,2.9239023229950503,1.0139385330094355,42.77810011652878,123.15949573108155,2.3239870285021773
17,1.082504374506888,2.0492054170438605,1,0.017636347364744866,0.015420628231425045,0.8990438520396946,32.42985990828649,1.1653545717878249,2.0492054170438605,51.825512429681325,0.6257508780504285,0.016491317596602263,4.036598475794063,3.4308629909200405,0.7948110127816075,46.37497623982265,124.18374673170969,2.3015981084538666
18,1.1088977535114426,-1.430409557620007,1,0.01896229290586081,0.00875336354352794,0.7387768879910896,57.59210094117021,1.219505098144912,-1.430409557620007,84.91579882047613,0.6782259808086828,0.012883471714714961,4.673932499789772,3.218190495376313,0.7733790156908119,45.76424741994463,135.32101072449223,2.9528061633739213
19,1.1073486527408152,0.661496909503236,1,0.013485939667980413,0.010377624027924071,0.6775973914508508,73.39471967773984,1.2064424086602132,0.661496909503236,100.71059715955894,0.7287685878920795,0.01183013150973259,3.8942907026314395,3.217993091388022,0.8060683192436535,49.51019889849402,130.40708106249417,2.4603422703161026
20,1.1077015152431515,2.626651341267317,1,0.014952578532400907,0.010534974155552776,0.32399786412445186,60.36102002984558,1.3144682421426133,2.626651341267317,89.47562681940285,0.6746085182692036,0.012550897513632912,3.5860919838310443,2.428325065939843,0.8378020229019703,38.55613055510534,113.84248935480018,2.863474741990924
21,1.1303301237625338,-2.0440665482220868,1,0.015083006065659006,0.009724194952040644,0.6339142081272922,64.59492411750333,1.1987969885745366,-2.0440665482220868,96.09764688043737,0.6721800815567414,0.01211074281145792,3.6733640888423933,2.931918290214394,0.8062251337716834,43.02499194110801,128.48785529182635,2.474783251657832
22,1.1320018266822958,-0.00629032195406574,1,0.019620251081031808,0.010469666029574587,0.6289404624594126,48.930238882811416,1.2307949359952797,-0.00629032195406574,68.61466178037857,0.7131163750311421,0.01433239255095962,3.5390889875586073,2.7829050709835337,0.8266073725892014,47.74677485301154,126.54029901291936,2.4159934525164095
23,1.1328023399786693,1.8856470515106964,1,0.013033630778323814,0.00776016851110442,0.6752204305433187,85.76555598774804,1.1581848716276089,1.8856470515106964,139.35345802579587,0.61545337448226,0.010056996129625876,4.737035516790556,2.966970424072469,1.0090400275768268,45.562964808013696,119.42881103416833,2.356816312570336
24,1.156749243388795,-1.276671805268412,2,0.013779623050981267,0.010641462487456078,0.6259165130766622,69.95113805484266,1.342570340383318,-1.276671805268412,96.12042010976062,0.7277448223277108,0.012109308063977158,4.728068518998696,2.968266753085534,0.7370244583316174,49.51086848563852,141.68496630645654,3.5727009528119513
25,1.1562473417480246,0.6129751378017461,2,0.01931615224411883,0.014708842276880097,0.39012284319172963,37.13202008418253,1.2967358820929202,0.6129751378017461,49.60839830843599,0.7485027001540618,0.016855807211609515,5.538326858992607,3.018707800812069,0.8174938397343096,46.65816614357524,122.01596880385021,2.530468747641952
26,1.157024915449836,2.594564261681325,2,0.016652644506924354,0.01351313043810913,0.6390238373328234,44.39356929534896,1.1572017594050377,2.594564261681325,62.63471940234712,0.7087693489960042,0.015000978546799215,5.2271894424879335,3.06304843237124,0.842370517877081,41.50083270328135,131.56506943903895,3.4117866668050194
27,1.1839826014568091,-1.9721764852457253,2,0.021973469068632505,0.013835171820686084,0.4319731790048036,31.60169883332186,1.1788169515031932,-1.9721764852457253,46.36295754514553,0.6816152486076839,0.01743578848406523,5.36464109194207,3.3663252905648418,0.804606798963296,45.92018432549448,114.76956176480122,2.0608300614364454
28,1.1834213554865798,0.043754000235299996,2,0.017092483506828675,0.012328303431654116,0.5113545104687041,45.436106477355295,1.1962499993240743,0.043754000235299996,66.88763362958474,0.6792900871478682,0.014516243421516715,5.146112916032782,2.7858076766371815,0.8725180394152225,45.16571344341539,117.08301963603002,2.3793442989025957
29,1.1825006828258844,2.0255358248160746,2,0.017020851879448316,0.009856861011718043,0.418314486970806,55.44903076751158,1.1537303651220547,2.0255358248160746,84.01065890945047,0.6600237575481513,0.012952689731355486,3.6295511567158876,2.6567195052593497,0.8280534712829147,48.54983536466175,123.95066331620636,2.3740916297815184
30,1.2124075774624141,-1.3273774709738262,2,0.0178567429058351,0.012931124775657549,0.6143690800812012,38.87671068836859,1.2443487244219196,-1.3273774709738262,61.04017469343745,0.636903660312563,0.015195649726227287,4.742825348705187,2.4950698230066455,0.8790336936905352,40.663203821217195,131.66442464292362,1.9717519745722818
31,1.211995109129252,0.578349581777538,2,0.012593221936468921,0.012854014965891338,0.6793821992426641,54.9749702671514,1.2931990534158586,0.578349581777538,87.07202757945879,0.6313734938236418,0.012722950256924005,4.1168949969146675,2.6323335836141606,0.8920518145334544,43.58861083784588,147.50127668185064,2.8629552716060207
32,1.2085475261780823,2.6528361891427816,2,0.02103585986089759,0.012775668384443389,0.8434599051253229,34.80429940093689,1.2787505563466197,2.6528361891427816,52.44576405393773,0.6636246039840794,0.01639350998915275,3.980486562201228,2.5410051437204633,0.9690489805421834,44.09718549531532,122.21430835186418,2.0490917981134027
